queue_position,video_id,upload_date,final_caption,original_caption,was_translated,views,duration_s,sort_ts
1,6808297904776826118,2020-03-25,"I’m Lucas Fink and I love #skimboarding , nice to met you TikTok #Skimboard","#Skimboard essa é minha arte, muito prazer Lucas Fink // I’m Lucas Fink and I love #skimboarding , nice to met you TikTok",1,3410,22,1585180384
2,6808302096157347077,2020-03-26,Still figuring out how #720 shuvs and #TikTok works,Ainda entendendo como esse tal de #TikTok funciona // Still figuring out how #720 shuvs and #TikTok works,1,4761,7,1585181360
3,6808311672931994885,2020-03-26,Just having fun with @redbull Brazil 🇧🇷 team 🚀🔥 Saudades equipe!,Just having fun with @redbull Brazil 🇧🇷 team 🚀🔥 Saudades equipe!,0,5225,8,1585183590
4,6808313956566961413,2020-03-26,Golden hour 🍯✨ No photos videos only 📹🔥,Golden hour 🍯✨ No photos videos only 📹🔥,0,4064,9,1585184122
5,6808319688410418438,2020-03-26,RJ lifestyle 🇧🇷🍇,RJ lifestyle 🇧🇷🍇,0,6488,11,1585185456
6,6808513996795202821,2020-03-26,#Skimboarding at the #WavePool in #Bristol 🔥🤯 #skim #skimboard #skimming #surf #surfing #travisscott #wave #trick #viral #viralvideo #barrel #skate,#Skimboarding at the #WavePool in #Bristol 🔥🤯 #skim #skimboard #skimming #surf #surfing #travisscott #wave #trick #viral #viralvideo #barrel #skate,0,3839,24,1585230697
7,6809262897705864453,2020-03-28,#Selfie game strong 😂💥 #ocean #wave #kook #gopro #wipeout #viral #viralvideo,#Selfie game strong 😂💥 #ocean #wave #kook #gopro #wipeout #viral #viralvideo,0,2095,5,1585405064
8,6809265310084943110,2020-03-28,#GoPro #Skimboarding @ Rio de Janeiro 🇧🇷 #skim #skimming #surf #surfing #barrel #wave #ocean #viral #viralvideo #awesome,#GoPro #Skimboarding @ Rio de Janeiro 🇧🇷 #skim #skimming #surf #surfing #barrel #wave #ocean #viral #viralvideo #awesome,1,2398,12,1585405626
9,6809268399890255109,2020-03-28,"Run, Drop, Slide, Alley Oop 🚀 #skim #skimboarding #skimboard #surf #surfing #waves #air #ocean #viralvideo #viral #skate #trick","Run, Drop, Slide, Alley Oop 🚀 #skim #skimboarding #skimboard #surf #surfing #waves #air #ocean #viralvideo #viral #skate #trick",0,2963,10,1585406345
10,6809269853673884934,2020-03-28,Another sick #iphone follow cam to #skimboarding air 🚀 #skimboard #skim #brazil #wedge #wave #trick #viral #viralvideo #surfing #surf,Another sick #iphone follow cam to #skimboarding air 🚀 #skimboard #skim #brazil #wedge #wave #trick #viral #viralvideo #surfing #surf,0,2697,10,1585406684
11,6809271913832140038,2020-03-28,Displacing water 💦 #skim #skimboard #skimboarding #skimming #wave #turn #carve #surf #surfing #viral #viralvideo,Displacing water 💦 #skim #skimboard #skimboarding #skimming #wave #turn #carve #surf #surfing #viral #viralvideo,0,2876,10,1585407164
12,6811229129237662981,2020-04-02,#StayInside #skimboarding #barrel #wedge #wipeout #fyp #foryou #foryoupage #surf,#StayInside #skimboarding #barrel #wedge #wipeout #fyp #foryou #foryoupage #surf,0,2801,4,1585862863
13,6813316318465395973,2020-04-08,How I drink my #RedBull during #Quaraintine 😂🚀 Como beber RedBull na #Quarenenta 😂🚀#ballancechallenge #indoboard #riodejaneiro #brasil #tiktokbr,How I drink my #RedBull during #Quaraintine 😂🚀 Como beber RedBull na #Quarenenta 😂🚀#ballancechallenge #indoboard #riodejaneiro #brasil #tiktokbr,0,4644,12,1586348825
14,6813317430274788614,2020-04-08,How #skimboarding feels // Como é andar de #skimboard 🧐 #360 #viral #viralvideo #viralclip #vr #virtualreality #fyp #foryou #foryoupage #brasil,How #skimboarding feels // Como é andar de #skimboard 🧐 #360 #viral #viralvideo #viralclip #vr #virtualreality #fyp #foryou #foryoupage #brasil,0,3564,15,1586349084
15,6813319334463655174,2020-04-08,MOVE GET OUT THE WAY 😂💥 Watch the little kid get smashed! #foryou #viral #viralvideo #fyp #wipeout #fail #funny #viralclip #skimboarding #beach,MOVE GET OUT THE WAY 😂💥 Watch the little kid get smashed! #foryou #viral #viralvideo #fyp #wipeout #fail #funny #viralclip #skimboarding #beach,0,5329,11,1586349527
16,6813458603144531206,2020-04-08,#Skimboarding combo trick 💥 #sports #surf #actionsports #skimming #viral #viraliralvideo #fyp #insane,#Skimboarding combo trick 💥 #sports #surf #actionsports #skimming #viral #viraliralvideo #fyp #insane,0,3467,7,1586381956
